player_id,player_name,entry_course,starts,avg_st,min_st,max_st,top_st_rate,reliability
3946,赤 岩 善 生,3,8,0.135,0.06,0.23,25.0,C
3329,作 野 恒,1,4,0.095,0.02,0.15,25.0,参考
4195,前 川 守 嗣,3,13,0.104,0.02,0.19,38.46,B
4697,國 弘 翔 平,4,6,0.135,0.09,0.16,0.0,C
3745,橋 本 年 光,5,9,0.149,0.04,0.29,11.11,C
4301,関 裕 也,1,4,0.147,0.09,0.18,0.0,参考
3514,山 一 鉄 也,2,15,0.172,0.1,0.24,0.0,B
4527,高 野 心 吾,5,5,0.182,0.12,0.26,20.0,C
3825,宮 嵜 隆太郎,1,9,0.126,0.04,0.22,44.44,C
3484,芝 田 浩 治,4,7,0.206,0.15,0.29,14.29,C
4053,芦 澤 望,5,9,0.164,0.06,0.36,22.22,C
2997,池 上 正 浩,1,4,0.38,0.32,0.45,0.0,参考
3807,岡 部 哲,2,8,0.169,0.12,0.24,0.0,C
3951,石 川 吉 鎬,3,7,0.164,0.12,0.2,14.29,C
3587,武 田 信 一,5,6,0.112,0.03,0.28,66.67,C
3708,岡 部 貴 司,1,8,0.159,0.07,0.31,12.5,C
3293,宮 内 由紀英,2,5,0.158,0.05,0.31,20.0,C
3641,一 瀬 明,3,5,0.134,0.11,0.15,0.0,C
4195,前 川 守 嗣,4,13,0.161,0.04,0.3,0.0,B
4816,村 松 修 二,5,6,0.11,0.06,0.19,33.33,C
2585,原 由樹夫,3,5,0.218,0.14,0.29,0.0,C
3907,村 越 篤,4,6,0.168,0.02,0.33,33.33,C
4086,寺 本 重 宣,5,7,0.153,0.08,0.23,28.57,C
3699,富 永 正 人,2,3,0.2,0.15,0.24,0.0,参考
4167,片 岡 秀 樹,6,4,0.143,0.08,0.23,0.0,参考
3663,木 山 和 幸,5,11,0.151,0.02,0.37,9.09,B
3641,一 瀬 明,1,8,0.18,0.08,0.27,12.5,C
3946,赤 岩 善 生,2,13,0.144,0.08,0.21,15.38,B
4250,藤 川 利 文,3,3,0.173,0.13,0.2,0.0,参考
3745,橋 本 年 光,6,6,0.155,0.03,0.24,16.67,C
3708,岡 部 貴 司,2,12,0.171,0.1,0.3,16.67,B
