player_id,player_name,lane,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
4060,島 田 一 生,3,3,8,0.0,25.0,0.0,25.0,0.168,0.11,0.28,12.5,52.71,-27.71,0,0.0,苦手,C
3391,鈴 木 茂 正,4,4,3,66.67,0.0,0.0,66.67,0.113,0.07,0.14,66.67,49.52,17.15,0,0.0,少数参考,参考
3502,渡 邉 英 児,2,3,3,0.0,0.0,33.33,33.33,0.137,0.11,0.16,0.0,52.71,-19.38,3,100.0,少数参考,参考
3542,清 水 紀 克,3,2,3,0.0,0.0,0.0,0.0,0.247,0.11,0.33,0.0,52.69,-52.69,3,100.0,少数参考,参考
4261,岡 祐 臣,5,5,6,16.67,0.0,0.0,16.67,0.147,0.1,0.19,0.0,38.06,-21.39,0,0.0,苦手,C
3566,川 添 英 正,6,6,7,0.0,0.0,14.29,14.29,0.167,0.07,0.25,14.29,23.06,-8.77,0,0.0,標準,C
4173,岡 谷 健 吾,2,2,9,22.22,22.22,11.11,55.56,0.163,0.09,0.21,0.0,52.69,2.87,0,0.0,標準,C
4459,片 岡 雅 裕,4,4,5,40.0,20.0,0.0,60.0,0.112,0.06,0.19,60.0,49.52,10.48,0,0.0,得意,C
4335,若 林 将,5,5,3,33.33,0.0,33.33,66.67,0.113,0.08,0.15,0.0,38.06,28.61,0,0.0,少数参考,参考
4148,枝 尾 賢,6,6,8,0.0,12.5,37.5,50.0,0.104,0.04,0.23,62.5,23.06,26.94,0,0.0,得意,C
3661,柳 瀬 興 志,3,3,7,14.29,0.0,14.29,28.57,0.159,0.11,0.31,0.0,52.71,-24.14,0,0.0,苦手,C
3880,浅 見 宗 孝,4,4,6,0.0,33.33,0.0,33.33,0.142,0.07,0.23,33.33,49.52,-16.19,0,0.0,苦手,C
3593,横 井 光 弘,5,5,7,0.0,14.29,14.29,28.57,0.11,0.07,0.16,42.86,38.06,-9.49,0,0.0,標準,C
4232,笠 雅 雄,6,6,4,0.0,0.0,0.0,0.0,0.125,0.09,0.17,50.0,23.06,-23.06,0,0.0,少数参考,参考
4062,後 藤 陽 介,3,3,4,0.0,0.0,50.0,50.0,0.158,0.08,0.21,25.0,52.71,-2.71,0,0.0,少数参考,参考
4475,末 永 祐 輝,4,4,5,0.0,40.0,0.0,40.0,0.192,0.1,0.35,0.0,49.52,-9.52,0,0.0,標準,C
4173,岡 谷 健 吾,5,5,7,0.0,28.57,14.29,42.86,0.149,0.1,0.2,0.0,38.06,4.8,0,0.0,やや得意,C
4102,益 田 啓 司,2,2,11,27.27,18.18,36.36,81.82,0.098,0.03,0.21,36.36,52.69,29.13,0,0.0,得意,B
3660,長谷川 親 王,4,4,8,12.5,12.5,25.0,50.0,0.14,0.05,0.2,25.0,49.52,0.48,0,0.0,標準,C
3880,浅 見 宗 孝,1,1,3,33.33,33.33,0.0,66.67,0.143,0.09,0.19,33.33,84.17,-17.5,0,0.0,少数参考,参考
