motor_no,n,win_rate,top2_rate,top3_rate,avg_exhibition_time,avg_start_timing,avg_motor_2ren_rate,avg_motor_3ren_rate,nige_rate,sashi_rate,makuri_rate,makurizashi_rate,deashi_score,nobi_score,mawariashi_score,motor_type,sample_reliability
43,881,0.18274687854710556,0.3654937570942111,0.5096481271282634,6.813802497162316,0.1672077185017026,,,0.0,0.0,0.0,0.0,0.14619750283768446,0.20385925085130535,0.17837684449489216,伸び型,1.0
44,942,0.18789808917197454,0.3673036093418259,0.5148619957537155,6.804681528662421,0.1619851380042463,,,0.0,0.0,0.0,0.0,0.14692144373673036,0.2059447983014862,0.1802016985138004,伸び型,1.0
45,892,0.17713004484304934,0.35201793721973096,0.5112107623318386,6.807410313901346,0.16446188340807175,,,0.0,0.0,0.0,0.0,0.14080717488789238,0.20448430493273545,0.1789237668161435,伸び型,1.0
46,872,0.16857798165137614,0.3555045871559633,0.536697247706422,6.805630733944954,0.16503440366972477,,,0.0,0.0,0.0,0.0,0.14220183486238533,0.21467889908256882,0.1878440366972477,伸び型,1.0
47,920,0.175,0.35543478260869565,0.5043478260869565,6.8020760869565216,0.16331521739130433,,,0.0,0.0,0.0,0.0,0.14217391304347826,0.20173913043478262,0.17652173913043476,伸び型,1.0
48,824,0.15776699029126215,0.3179611650485437,0.48058252427184467,6.814842233009709,0.1609344660194175,,,0.0,0.0,0.0,0.0,0.1271844660194175,0.19223300970873788,0.16820388349514562,伸び型,1.0
49,886,0.18961625282167044,0.3690744920993228,0.5338600451467269,6.812528216704289,0.16469525959367945,,,0.0,0.0,0.0,0.0,0.14762979683972913,0.21354401805869078,0.1868510158013544,伸び型,1.0
50,880,0.17954545454545454,0.33295454545454545,0.4818181818181818,6.819045454545455,0.1635568181818182,,,0.0,0.0,0.0,0.0,0.13318181818181818,0.19272727272727275,0.1686363636363636,伸び型,1.0
51,900,0.16111111111111112,0.3233333333333333,0.5055555555555555,6.806577777777778,0.1641,,,0.0,0.0,0.0,0.0,0.12933333333333333,0.20222222222222222,0.17694444444444443,伸び型,1.0
52,929,0.1797631862217438,0.35306781485468247,0.5231431646932185,6.811969860064585,0.1628740581270183,,,0.0,0.0,0.0,0.0,0.141227125941873,0.20925726587728743,0.18310010764262646,伸び型,1.0
